id,user_id,average_rating,learning_path_id
1,1,84.6,2
2,1,81.0,17
3,1,70.0,20
4,1,80.0,13
5,1,90.0,18
6,1,80.0,1
7,1,93.0,7
8,1,69.0,14
9,2,85.25,2
10,2,88.0,17
11,2,82.0,6
12,2,78.0,4
13,2,88.0,19
14,2,83.0,3
15,3,85.5,2
16,3,81.0,17
17,3,68.0,19
18,3,76.0,13
19,3,83.0,6
20,3,84.0,5
21,3,69.0,15
22,4,67.0,17
23,4,75.0,2
24,4,85.0,1
25,4,80.0,8
26,4,74.0,12
27,4,82.0,13
28,4,82.0,14
29,4,95.0,5
30,4,70.0,19
31,5,76.5,2
32,5,86.0,17
33,5,87.0,3
34,5,82.0,7
35,5,78.0,6
36,5,85.5,10
37,5,77.0,12
38,6,79.0,2
39,6,80.0,17
40,6,88.0,4
41,6,78.0,9
42,6,87.0,19
43,6,80.0,13
44,6,83.0,3
45,6,87.0,16
46,6,87.0,14
47,7,76.25,2
48,7,81.0,17
49,7,84.0,6
50,7,69.0,9
51,7,73.0,7
52,7,84.0,1
53,7,72.0,15
54,7,80.0,18
55,8,82.25,2
56,8,81.0,17
57,8,68.0,14
58,8,67.0,1
59,8,86.0,19
60,8,76.0,4
61,8,71.0,20
62,9,82.67,2
63,9,78.0,17
64,9,93.0,12
65,9,72.0,11
66,9,83.0,13
67,9,78.0,14
68,9,91.0,10
69,9,82.0,9
70,9,82.0,5
71,10,82.0,2
72,10,71.0,6
73,10,73.0,19
74,10,73.0,18
75,10,95.0,20
76,10,70.0,16
77,10,80.0,4
78,10,79.0,8
79,11,77.0,2
80,11,76.0,17
81,11,77.0,10
82,11,62.0,13
83,11,88.0,18
84,11,76.0,3
85,11,70.0,4
86,11,74.0,6
87,11,74.0,14
88,11,76.0,9
89,12,80.0,2
90,12,78.0,17
91,12,79.0,1
92,12,81.5,10
93,12,71.0,16
94,12,66.0,11
95,12,72.0,5
96,13,75.4,2
97,13,87.0,17
98,13,73.0,6
99,13,77.0,8
100,13,97.0,7
101,13,89.0,19
102,13,73.0,20
103,14,73.5,2
104,14,85.5,17
105,14,73.5,14
106,14,69.0,19
107,14,85.0,3
108,14,71.0,15
109,14,77.0,16
110,15,77.5,2
111,15,84.0,17
112,15,74.0,4
113,15,77.0,11
114,15,74.0,16
115,15,78.0,14
116,15,84.0,15
117,15,79.0,8
118,16,81.0,2
119,16,76.0,17
120,16,84.0,13
121,16,81.0,12
122,16,85.0,5
123,16,74.0,10
124,16,85.0,16
125,17,76.5,2
126,17,68.0,17
127,17,71.0,19
128,17,85.0,6
129,17,74.0,13
130,17,76.0,15
131,17,68.0,7
132,18,83.5,2
133,18,76.0,17
134,18,83.0,6
135,18,73.0,20
136,18,76.0,7
137,18,71.0,8
138,18,78.0,4
139,19,82.0,2
140,19,86.0,17
141,19,78.33,1
142,19,83.5,16
143,19,76.0,5
144,19,78.0,14
145,19,79.0,3
146,20,81.25,2
147,20,84.0,17
148,20,67.0,20
149,20,76.0,15
150,20,89.0,1
151,20,81.0,16
152,20,80.0,3
153,20,88.0,10
154,20,84.0,18
155,20,86.0,4
156,20,67.0,7
157,20,91.0,12
158,21,76.5,2
159,21,87.0,17
160,21,84.0,15
161,21,94.0,6
162,21,94.0,8
163,21,82.0,11
164,22,81.0,17
165,22,79.25,2
166,22,90.0,18
167,22,75.0,9
168,22,96.0,19
169,22,85.0,1
170,23,86.2,2
171,23,80.0,17
172,23,94.0,13
173,23,84.0,9
174,23,72.0,19
175,23,83.0,20
176,23,83.0,16
177,23,88.0,11
178,23,77.0,6
179,23,72.0,8
180,24,88.0,17
181,24,77.0,2
182,24,79.0,7
183,24,80.0,14
184,24,72.0,10
185,24,91.0,9
186,24,72.0,18
187,24,86.0,11
188,25,81.0,2
189,25,79.5,17
190,25,76.0,16
191,25,79.0,8
192,25,92.0,5
193,26,72.0,17
194,26,82.25,2
195,26,69.0,18
196,26,93.0,1
197,26,80.0,11
198,26,94.0,12
199,26,78.0,14
200,27,82.8,2
201,27,78.0,17
202,27,99.0,7
203,27,77.0,16
204,27,81.0,11
205,27,66.0,15
206,28,79.25,2
207,28,79.0,17
208,28,77.0,4
209,28,81.0,3
210,28,89.0,7
211,28,92.0,18
212,28,77.0,14
213,29,77.0,17
214,29,83.5,2
215,29,95.0,10
216,29,82.0,5
217,29,93.0,6
218,29,72.0,3
219,29,83.0,14
220,29,73.0,18
221,29,84.0,4
222,29,69.0,8
223,29,79.0,9
224,30,77.5,2
225,30,83.5,17
226,30,70.0,10
227,30,84.0,8
228,30,79.0,14
229,30,72.0,6
230,31,79.0,2
231,31,83.0,17
232,31,82.0,13
233,31,77.0,11
234,31,72.0,12
235,31,84.0,1
236,31,80.0,15
237,32,76.75,2
238,32,81.0,17
239,32,75.5,13
240,32,67.0,9
241,32,79.0,5
242,32,86.0,20
243,32,80.5,1
244,33,69.2,2
245,33,86.0,17
246,33,78.0,5
247,33,82.0,13
248,33,66.0,11
249,33,80.0,7
250,33,72.0,1
251,33,83.0,4
252,34,76.6,2
253,34,85.0,17
254,34,74.0,11
255,34,75.0,9
256,34,89.0,5
257,34,81.0,6
258,34,77.0,18
259,34,80.0,13
260,34,83.0,16
261,35,79.0,2
262,35,83.0,17
263,35,83.0,9
264,35,88.0,13
265,35,88.0,4
266,35,73.0,3
267,36,78.75,2
268,36,92.0,17
269,36,83.0,1
270,36,75.0,16
271,36,78.0,6
272,36,71.0,4
273,36,78.0,7
274,36,63.0,14
275,36,77.0,3
276,36,85.0,18
277,37,80.67,2
278,37,74.0,17
279,37,67.0,19
280,37,81.5,4
281,37,72.0,12
282,37,79.0,10
283,37,74.0,1
284,37,81.0,13
285,38,73.0,17
286,38,82.33,2
287,38,86.0,10
288,38,85.0,11
289,38,89.0,19
290,38,72.5,9
291,38,68.0,13
292,39,82.8,2
293,39,77.0,17
294,39,91.0,19
295,39,74.0,15
296,39,82.0,18
297,39,83.0,10
298,39,69.0,5
299,39,79.0,16
300,39,79.0,4
301,39,79.0,12
302,40,80.4,2
303,40,74.0,17
304,40,98.0,8
305,40,90.0,13
306,40,83.0,18
307,40,70.0,4
308,41,81.6,2
309,41,84.0,17
310,41,70.5,15
311,41,70.0,11
312,41,69.0,10
313,41,78.0,6
314,41,85.0,14
315,41,88.0,1
316,41,75.0,8
317,41,73.0,7
318,42,82.25,2
319,42,83.0,17
320,42,84.0,6
321,42,77.0,12
322,42,73.0,11
323,42,87.0,14
324,42,83.0,18
325,43,82.0,2
326,43,88.0,17
327,43,82.0,13
328,43,83.0,19
329,43,86.0,11
330,43,84.0,5
331,43,85.0,15
332,43,77.0,18
333,44,80.2,2
334,44,77.0,17
335,44,74.0,12
336,44,96.0,11
337,44,78.0,13
338,44,73.0,1
339,45,76.75,2
340,45,86.0,17
341,45,82.0,15
342,45,71.0,8
343,45,85.0,13
344,45,78.0,12
345,45,69.0,3
346,45,93.0,14
347,45,94.0,4
348,45,81.0,20
349,45,79.0,5
350,45,74.0,1
351,46,78.0,2
352,46,73.0,17
353,46,82.5,13
354,46,88.0,9
355,46,75.0,11
356,46,64.0,6
357,46,73.0,15
358,47,73.0,17
359,47,79.0,2
360,47,84.0,8
361,47,76.5,7
362,47,76.0,10
363,47,66.0,18
364,47,74.0,16
365,47,81.0,13
366,47,80.0,12
367,48,78.75,2
368,48,78.0,17
369,48,84.0,19
370,48,92.0,7
371,48,85.5,13
372,48,76.0,4
373,48,82.0,18
374,49,77.83,2
375,49,80.0,17
376,49,73.0,6
377,49,66.0,16
378,49,84.0,13
379,49,74.0,7
380,49,89.0,1
381,49,78.0,5
382,50,72.0,17
383,50,88.0,2
384,50,78.5,12
385,50,75.0,3
386,50,84.5,7
387,50,71.0,15
388,50,73.0,18
389,50,81.0,9
390,51,77.75,2
391,51,84.0,17
392,51,84.67,7
393,51,88.0,19
394,51,75.0,3
395,51,79.0,11
396,52,82.75,2
397,52,74.0,17
398,52,75.0,4
399,52,86.0,16
400,52,72.0,8
401,52,90.0,11
402,53,78.5,2
403,53,72.0,17
404,53,78.5,6
405,53,74.0,12
406,53,82.0,1
407,53,78.0,10
408,53,65.0,8
409,54,95.0,17
410,54,79.8,2
411,54,79.0,11
412,54,78.0,12
413,54,80.0,13
414,54,80.0,10
415,54,77.0,9
416,55,79.75,2
417,55,85.0,17
418,55,81.5,11
419,55,82.0,8
420,55,92.0,16
421,55,81.0,14
422,55,91.0,15
423,55,86.0,7
424,56,77.0,2
425,56,79.0,17
426,56,87.0,10
427,56,83.0,11
428,56,74.0,20
429,56,79.5,12
430,56,76.0,14
431,56,84.0,19
432,57,87.75,2
433,57,80.67,17
434,57,78.0,16
435,57,80.0,12
436,57,79.0,18
437,57,74.0,14
438,57,79.0,7
439,58,75.67,2
440,58,80.0,17
441,58,80.0,18
442,58,82.0,14
443,58,81.0,16
444,58,85.5,19
445,58,67.0,3
446,58,69.0,5
447,59,84.0,2
448,59,77.5,17
449,59,73.0,5
450,59,86.0,20
451,59,85.0,1
452,59,90.0,4
453,60,75.5,2
454,60,75.0,17
455,60,95.0,12
456,60,82.0,16
457,60,69.0,19
458,60,81.0,8
459,60,77.0,7
460,60,73.5,3
461,61,79.25,2
462,61,88.0,17
463,61,79.0,16
464,61,78.0,6
465,61,84.0,13
466,61,92.0,20
467,61,90.5,4
468,61,85.0,8
469,61,89.0,15
470,62,79.25,2
471,62,76.0,17
472,62,77.0,5
473,62,94.0,3
474,62,84.0,18
475,62,84.0,10
476,63,80.25,2
477,63,76.0,17
478,63,77.0,12
479,63,73.5,4
480,63,73.0,10
481,63,82.5,16
482,63,72.0,14
483,63,82.0,9
484,64,83.6,2
485,64,75.0,17
486,64,77.0,13
487,64,76.67,4
488,64,85.0,8
489,64,78.0,6
490,64,80.5,18
491,65,74.5,2
492,65,74.0,17
493,65,75.0,1
494,65,80.0,14
495,65,78.0,4
496,65,66.0,20
497,65,77.0,13
498,66,76.5,2
499,66,71.0,17
500,66,76.0,20
501,66,91.0,15
502,66,86.0,18
503,66,76.0,13
504,66,69.0,1
505,67,73.75,2
506,67,87.0,17
507,67,76.0,9
508,67,73.0,8
509,67,71.0,10
510,67,92.0,20
511,67,84.0,12
512,68,79.5,2
513,68,74.5,17
514,68,75.0,11
515,68,88.0,8
516,68,77.0,7
517,68,75.0,14
518,68,71.0,1
519,68,93.0,18
520,68,79.0,15
521,69,84.0,17
522,69,75.0,2
523,69,83.0,15
524,69,73.0,8
525,69,70.0,9
526,69,74.0,6
527,69,67.0,5
528,70,78.75,2
529,70,83.0,17
530,70,76.0,8
531,70,81.0,14
532,70,86.0,4
533,70,74.0,12
534,70,92.0,19
535,70,66.0,10
536,70,75.0,20
537,71,75.8,2
538,71,72.0,17
539,71,69.0,18
540,71,79.5,9
541,71,76.0,20
542,71,75.0,4
543,71,83.0,6
544,71,72.0,7
545,71,64.0,13
546,71,95.0,1
547,72,78.8,2
548,72,74.0,17
549,72,75.0,1
550,72,74.0,18
551,72,84.0,8
552,72,80.0,12
553,72,76.0,13
554,73,78.0,2
555,73,71.0,17
556,73,68.0,11
557,73,68.0,8
558,73,69.0,16
559,73,82.5,1
560,73,72.0,15
561,73,79.0,3
562,73,85.0,5
563,73,89.0,4
564,73,79.0,10
565,74,78.2,2
566,74,81.0,17
567,74,75.5,15
568,74,75.0,18
569,74,70.0,13
570,74,79.0,8
571,74,85.0,19
572,74,68.0,20
573,74,85.0,7
574,75,74.75,2
575,75,74.0,17
576,75,81.0,6
577,75,74.0,9
578,75,65.0,20
579,75,82.0,8
580,75,69.0,7
581,75,85.0,10
582,75,82.0,4
583,75,77.0,16
584,75,69.0,15
585,75,84.0,5
586,76,83.0,2
587,76,80.0,17
588,76,90.0,15
589,76,81.0,20
590,76,81.0,12
591,76,77.0,3
592,76,87.0,16
593,76,78.0,14
594,77,77.5,2
595,77,72.0,17
596,77,86.0,20
597,77,76.0,3
598,77,73.0,18
599,77,79.0,4
600,77,75.0,13
601,77,85.0,9
602,77,78.0,8
603,77,75.0,16
604,77,82.0,6
605,78,84.8,2
606,78,79.0,17
607,78,78.0,5
608,78,65.0,10
609,78,84.0,11
610,78,70.0,15
611,78,81.0,9
612,78,80.0,7
613,79,76.25,2
614,79,68.0,17
615,79,78.0,12
616,79,96.0,16
617,79,82.0,14
618,79,74.0,9
619,79,85.0,3
620,79,86.0,6
621,80,81.5,2
622,80,83.5,17
623,80,86.0,19
624,80,80.0,5
625,80,88.0,20
626,80,82.0,15
627,81,78.8,2
628,81,79.0,17
629,81,87.0,4
630,81,78.0,7
631,81,87.0,20
632,81,94.0,14
633,81,75.0,18
634,81,83.0,10
635,82,86.0,17
636,82,75.8,2
637,82,70.0,8
638,82,87.0,11
639,82,86.0,7
640,82,75.0,4
641,82,92.0,12
642,82,87.0,5
643,83,74.8,2
644,83,78.0,17
645,83,66.0,12
646,83,71.0,9
647,83,73.0,8
648,83,84.0,15
649,84,86.5,2
650,84,85.0,17
651,84,69.0,10
652,84,80.0,6
653,84,76.0,5
654,84,72.0,14
655,84,78.0,19
656,84,80.0,15
657,84,78.0,3
658,84,70.0,11
659,85,74.25,2
660,85,92.5,17
661,85,83.67,8
662,85,79.0,7
663,85,90.0,4
664,86,78.5,2
665,86,70.0,17
666,86,81.5,16
