id,user_id,course_id,progress,assignment_date,quiz_score,engagement_score,assignment_grade
1,1,20,100,2024-10-21 05:27:58.294000,95.0,94,90
2,1,166,100,2024-10-21 05:27:58.294000,81.0,91,74
3,1,13,100,2024-10-21 05:27:58.294000,71.0,89,62
4,1,12,100,2024-10-21 05:27:58.294000,71.0,78,69
5,1,17,100,2024-10-21 05:27:58.294000,98.0,90,71
6,1,103,100,2024-10-21 05:27:58.294000,76.0,84,97
7,1,165,100,2024-10-21 05:27:58.294000,62.0,54,68
8,1,180,100,2024-10-21 05:27:58.294000,67.0,87,72
9,1,21,100,2024-10-21 05:27:58.294000,82.0,63,65
10,1,134,100,2024-10-21 05:27:58.294000,65.0,94,65
11,1,119,100,2024-10-21 05:27:58.294000,85.0,52,93
12,2,13,100,2024-10-21 05:27:58.294000,81.0,81,75
13,2,20,100,2024-10-21 05:27:58.294000,99.0,83,89
14,2,17,100,2024-10-21 05:27:58.294000,84.0,65,85
15,2,12,100,2024-10-21 05:27:58.294000,75.0,83,64
16,2,166,100,2024-10-21 05:27:58.294000,50.0,85,73
17,2,143,100,2024-10-21 05:27:58.294000,60.0,100,71
18,2,11,100,2024-10-21 05:27:58.294000,79.0,54,72
19,2,38,100,2024-10-21 05:27:58.294000,57.0,57,100
20,2,183,100,2024-10-21 05:27:58.294000,80.0,54,67
21,2,87,100,2024-10-21 05:27:58.294000,82.0,97,83
22,2,66,100,2024-10-21 05:27:58.295000,66.0,94,92
23,2,160,100,2024-10-21 05:27:58.295000,61.0,57,80
24,2,122,100,2024-10-21 05:27:58.295000,75.0,94,59
25,3,20,100,2024-10-21 05:27:58.295000,81.0,81,89
26,3,17,100,2024-10-21 05:27:58.295000,96.0,68,91
27,3,166,100,2024-10-21 05:27:58.295000,83.0,68,71
28,3,13,100,2024-10-21 05:27:58.295000,99.0,80,77
29,3,28,100,2024-10-21 05:27:58.295000,100.0,71,95
30,3,132,100,2024-10-21 05:27:58.295000,64.0,73,59
31,3,77,100,2024-10-21 05:27:58.295000,94.0,86,77
32,3,33,100,2024-10-21 05:27:58.295000,81.0,91,76
33,3,129,100,2024-10-21 05:27:58.295000,88.0,98,91
34,3,23,100,2024-10-21 05:27:58.295000,91.0,98,81
35,4,166,100,2024-10-21 05:27:58.295000,90.0,83,53
36,4,13,100,2024-10-21 05:27:58.295000,97.0,66,72
37,4,17,100,2024-10-21 05:27:58.295000,90.0,73,78
38,4,12,100,2024-10-21 05:27:58.295000,90.0,59,55
39,4,119,100,2024-10-21 05:27:58.295000,83.0,87,73
40,4,182,100,2024-10-21 05:27:58.295000,79.0,57,78
41,4,156,100,2024-10-21 05:27:58.295000,81.0,79,91
42,4,19,100,2024-10-21 05:27:58.295000,55.0,58,73
43,4,3,100,2024-10-21 05:27:58.295000,96.0,53,100
44,4,126,100,2024-10-21 05:27:58.295000,53.0,55,83
45,5,20,100,2024-10-21 05:27:58.295000,65.0,57,86
46,5,13,100,2024-10-21 05:27:58.295000,68.0,86,68
47,5,17,100,2024-10-21 05:27:58.295000,70.0,89,62
48,5,166,100,2024-10-21 05:27:58.295000,75.0,64,65
49,5,12,100,2024-10-21 05:27:58.295000,68.0,61,93
50,5,19,100,2024-10-21 05:27:58.295000,82.0,94,75
51,5,25,100,2024-10-21 05:27:58.295000,74.0,87,93
52,5,156,100,2024-10-21 05:27:58.295000,52.0,75,100
53,5,14,100,2024-10-21 05:27:58.295000,73.0,81,73
54,5,155,100,2024-10-21 05:27:58.295000,60.0,77,92
55,5,110,100,2024-10-21 05:27:58.295000,83.0,83,60
56,5,135,100,2024-10-21 05:27:58.295000,89.0,99,68
57,6,13,100,2024-10-21 05:27:58.295000,65.0,59,85
58,6,12,100,2024-10-21 05:27:58.295000,80.0,68,99
59,6,17,100,2024-10-21 05:27:58.295000,53.0,92,58
60,6,166,100,2024-10-21 05:27:58.295000,74.0,54,60
61,6,39,100,2024-10-21 05:27:58.295000,69.0,92,95
62,6,128,100,2024-10-21 05:27:58.295000,86.0,65,92
63,6,63,100,2024-10-21 05:27:58.295000,56.0,50,89
64,6,170,100,2024-10-21 05:27:58.295000,99.0,86,86
65,6,8,100,2024-10-21 05:27:58.295000,94.0,68,85
66,6,75,100,2024-10-21 05:27:58.295000,92.0,64,90
67,6,53,100,2024-10-21 05:27:58.295000,77.0,60,85
68,6,112,100,2024-10-21 05:27:58.295000,75.0,99,63
69,6,6,100,2024-10-21 05:27:58.295000,93.0,62,83
70,7,12,100,2024-10-21 05:27:58.295000,85.0,99,80
71,7,13,100,2024-10-21 05:27:58.295000,64.0,87,82
72,7,20,100,2024-10-21 05:27:58.295000,59.0,74,72
73,7,17,100,2024-10-21 05:27:58.295000,59.0,88,85
74,7,166,100,2024-10-21 05:27:58.295000,87.0,54,98
75,7,21,100,2024-10-21 05:27:58.295000,81.0,90,57
76,7,173,100,2024-10-21 05:27:58.295000,92.0,63,59
77,7,102,100,2024-10-21 05:27:58.295000,57.0,81,92
78,7,68,100,2024-10-21 05:27:58.295000,55.0,82,71
79,7,162,100,2024-10-21 05:27:58.295000,56.0,74,68
80,7,63,100,2024-10-21 05:27:58.295000,94.0,54,80
81,7,116,100,2024-10-21 05:27:58.295000,67.0,81,94
82,7,119,100,2024-10-21 05:27:58.295000,78.0,56,53
83,8,17,100,2024-10-21 05:27:58.295000,73.0,95,87
84,8,166,100,2024-10-21 05:27:58.295000,85.0,82,61
85,8,12,100,2024-10-21 05:27:58.295000,73.0,64,85
86,8,13,100,2024-10-21 05:27:58.295000,65.0,59,51
87,8,20,100,2024-10-21 05:27:58.295000,52.0,88,72
88,8,74,100,2024-10-21 05:27:58.295000,93.0,74,89
89,8,93,100,2024-10-21 05:27:58.295000,74.0,64,96
90,8,199,100,2024-10-21 05:27:58.295000,87.0,60,65
91,8,106,100,2024-10-21 05:27:58.295000,76.0,70,86
92,8,176,100,2024-10-21 05:27:58.295000,70.0,86,94
93,8,50,100,2024-10-21 05:27:58.295000,82.0,72,65
94,8,2,100,2024-10-21 05:27:58.295000,91.0,90,63
95,9,166,100,2024-10-21 05:27:58.295000,94.0,56,78
96,9,20,100,2024-10-21 05:27:58.295000,59.0,53,79
97,9,13,100,2024-10-21 05:27:58.295000,98.0,73,70
98,9,17,100,2024-10-21 05:27:58.295000,84.0,98,78
99,9,12,100,2024-10-21 05:27:58.295000,98.0,86,82
100,9,163,100,2024-10-21 05:27:58.295000,90.0,72,74
101,9,176,100,2024-10-21 05:27:58.295000,71.0,76,59
102,9,82,100,2024-10-21 05:27:58.295000,51.0,78,73
103,9,153,100,2024-10-21 05:27:58.295000,100.0,50,71
104,9,187,100,2024-10-21 05:27:58.295000,51.0,93,53
105,9,125,100,2024-10-21 05:27:58.295000,71.0,72,59
106,9,4,100,2024-10-21 05:27:58.295000,91.0,89,93
107,9,121,100,2024-10-21 05:27:58.295000,60.0,73,60
108,10,13,100,2024-10-21 05:27:58.295000,76.0,82,77
109,10,20,100,2024-10-21 05:27:58.295000,72.0,69,56
110,10,17,100,2024-10-21 05:27:58.295000,66.0,80,89
111,10,166,100,2024-10-21 05:27:58.295000,80.0,63,53
112,10,12,100,2024-10-21 05:27:58.295000,72.0,83,94
113,10,87,100,2024-10-21 05:27:58.295000,93.0,79,71
114,10,32,100,2024-10-21 05:27:58.295000,50.0,92,86
115,10,128,100,2024-10-21 05:27:58.295000,92.0,56,55
116,10,24,100,2024-10-21 05:27:58.295000,72.0,81,59
117,10,148,100,2024-10-21 05:27:58.295000,95.0,99,75
118,10,90,100,2024-10-21 05:27:58.295000,67.0,68,76
119,10,73,100,2024-10-21 05:27:58.295000,50.0,58,82
120,10,82,100,2024-10-21 05:27:58.295000,58.0,84,87
121,10,172,100,2024-10-21 05:27:58.295000,62.0,91,53
122,11,20,100,2024-10-21 05:27:58.295000,63.0,81,61
123,11,12,100,2024-10-21 05:27:58.295000,84.0,94,86
124,11,166,100,2024-10-21 05:27:58.295000,50.0,100,81
125,11,13,100,2024-10-21 05:27:58.295000,89.0,78,59
126,11,17,100,2024-10-21 05:27:58.295000,57.0,97,52
127,11,105,100,2024-10-21 05:27:58.295000,90.0,98,62
128,11,7,100,2024-10-21 05:27:58.295000,69.0,84,82
129,11,9,100,2024-10-21 05:27:58.295000,74.0,67,80
130,11,167,100,2024-10-21 05:27:58.295000,94.0,77,95
131,11,34,100,2024-10-21 05:27:58.295000,62.0,72,87
132,12,17,100,2024-10-21 05:27:58.295000,72.0,98,84
133,12,20,100,2024-10-21 05:27:58.295000,93.0,66,99
134,12,166,100,2024-10-21 05:27:58.295000,64.0,64,59
135,12,13,100,2024-10-21 05:27:58.295000,76.0,56,62
136,12,12,100,2024-10-21 05:27:58.295000,71.0,92,81
137,12,5,100,2024-10-21 05:27:58.295000,86.0,80,92
138,12,56,100,2024-10-21 05:27:58.295000,88.0,82,67
139,12,109,100,2024-10-21 05:27:58.295000,61.0,88,98
140,12,75,100,2024-10-21 05:27:58.295000,92.0,62,59
141,12,195,100,2024-10-21 05:27:58.295000,71.0,50,54
142,12,89,100,2024-10-21 05:27:58.295000,79.0,98,83
143,12,188,100,2024-10-21 05:27:58.295000,51.0,95,56
144,12,39,100,2024-10-21 05:27:58.295000,93.0,81,88
145,12,156,100,2024-10-21 05:27:58.295000,52.0,89,94
146,12,175,100,2024-10-21 05:27:58.295000,78.0,69,97
147,13,166,100,2024-10-21 05:27:58.295000,86.0,54,88
148,13,20,100,2024-10-21 05:27:58.295000,87.0,65,51
149,13,13,100,2024-10-21 05:27:58.295000,62.0,79,73
150,13,12,100,2024-10-21 05:27:58.295000,75.0,67,100
151,13,17,100,2024-10-21 05:27:58.295000,82.0,95,61
152,13,73,100,2024-10-21 05:27:58.295000,87.0,54,59
153,13,21,100,2024-10-21 05:27:58.295000,66.0,94,85
154,13,56,100,2024-10-21 05:27:58.295000,93.0,58,59
155,13,76,100,2024-10-21 05:27:58.295000,67.0,80,86
156,13,75,100,2024-10-21 05:27:58.295000,62.0,52,74
157,14,17,100,2024-10-21 05:27:58.295000,67.0,65,98
158,14,13,100,2024-10-21 05:27:58.295000,61.0,56,89
159,14,166,100,2024-10-21 05:27:58.295000,98.0,75,71
160,14,20,100,2024-10-21 05:27:58.295000,58.0,93,82
161,14,12,100,2024-10-21 05:27:58.295000,98.0,90,54
162,14,135,100,2024-10-21 05:27:58.295000,54.0,82,95
163,14,31,100,2024-10-21 05:27:58.295000,53.0,84,77
164,14,10,100,2024-10-21 05:27:58.295000,93.0,79,67
165,14,5,100,2024-10-21 05:27:58.295000,60.0,55,56
166,14,157,100,2024-10-21 05:27:58.295000,99.0,59,70
167,14,112,100,2024-10-21 05:27:58.295000,55.0,87,51
168,14,3,100,2024-10-21 05:27:58.295000,55.0,54,67
169,15,166,100,2024-10-21 05:27:58.296000,95.0,77,96
170,15,13,100,2024-10-21 05:27:58.296000,60.0,75,70
171,15,20,100,2024-10-21 05:27:58.296000,98.0,59,58
172,15,12,100,2024-10-21 05:27:58.296000,79.0,60,55
173,15,17,100,2024-10-21 05:27:58.296000,92.0,85,61
