id,user_id,average_rating,learning_path_id
1,1,83.2,2
2,1,78.0,17
3,1,68.0,13
4,1,83.0,1
5,1,74.0,19
6,1,83.0,18
7,2,76.75,2
8,2,83.5,17
9,2,78.0,20
10,2,72.0,18
11,2,74.0,8
12,2,87.5,6
13,2,75.0,12
14,2,86.0,19
15,2,86.0,13
16,3,77.4,2
17,3,83.0,17
18,3,69.0,4
19,3,88.0,8
20,3,85.0,6
21,3,78.0,15
22,4,78.75,2
23,4,82.0,17
24,4,71.0,14
25,4,75.0,4
26,4,72.0,16
27,4,76.5,3
28,4,69.0,9
29,4,95.0,13
30,4,74.0,19
31,5,72.0,2
32,5,91.0,17
33,5,85.0,14
34,5,77.0,6
35,5,76.0,7
36,5,82.0,8
37,5,84.5,16
38,5,83.0,13
39,5,93.0,5
40,5,75.0,11
41,6,86.0,2
42,6,93.0,17
43,6,90.0,16
44,6,83.67,14
45,6,88.0,15
46,6,71.0,9
47,6,78.0,10
48,7,78.0,2
49,7,88.0,17
50,7,90.0,16
51,7,91.0,10
52,7,79.0,4
53,7,78.0,19
54,7,83.0,8
55,8,86.0,17
56,8,83.8,2
57,8,73.0,5
58,8,77.0,9
59,8,87.0,16
60,8,80.0,1
61,9,78.4,2
62,9,80.0,17
63,9,71.0,20
64,9,87.0,4
65,9,67.0,15
66,9,86.0,9
67,9,87.0,1
68,9,70.0,3
69,9,78.0,16
70,10,82.5,17
71,10,81.25,2
72,10,78.5,1
73,10,81.0,16
74,10,76.0,3
75,10,72.0,13
76,10,73.0,20
77,10,73.0,15
78,11,83.75,2
79,11,80.0,17
80,11,88.0,19
81,11,82.0,3
82,11,77.0,6
83,11,91.0,1
84,11,91.0,4
85,12,78.75,2
86,12,76.0,17
87,12,69.0,16
88,12,85.5,20
89,12,84.0,10
90,12,82.0,14
91,13,80.0,2
92,13,80.0,17
93,13,74.0,13
94,13,85.0,10
95,13,79.0,12
96,13,96.0,14
97,13,94.0,8
98,13,78.5,1
99,13,83.0,19
100,13,86.0,3
101,14,82.0,2
102,14,75.0,17
103,14,92.0,1
104,14,83.0,19
105,14,72.0,10
106,14,77.0,13
107,15,78.25,2
108,15,80.0,17
109,15,75.0,3
110,15,86.0,4
111,15,86.0,11
112,15,89.0,20
113,15,85.0,8
114,15,79.0,15
115,15,76.0,16
116,15,93.0,5
117,15,76.0,7
118,16,73.5,17
119,16,79.5,2
120,16,80.0,14
121,16,89.0,12
122,16,83.0,20
123,16,76.0,8
124,16,90.0,9
125,17,86.0,17
126,17,78.6,2
127,17,71.0,20
128,17,72.0,15
129,17,80.0,6
130,17,92.0,8
131,17,85.0,12
132,17,78.0,4
133,17,79.0,5
134,18,91.0,17
135,18,84.0,2
136,18,81.5,1
137,18,72.0,18
138,18,66.0,9
139,18,69.0,5
140,19,77.75,2
141,19,78.5,17
142,19,73.0,15
143,19,70.0,6
144,19,87.0,7
145,19,82.0,5
146,20,78.2,2
147,20,70.0,20
148,20,89.0,8
149,20,88.0,11
150,20,90.0,1
151,20,88.0,18
152,20,96.0,7
153,20,71.0,19
154,21,81.6,2
155,21,77.0,17
156,21,92.0,16
157,21,88.0,18
158,21,82.0,1
159,21,88.0,15
160,21,74.0,12
161,21,73.0,20
162,21,83.0,13
163,21,77.0,14
164,22,79.6,2
165,22,78.0,17
166,22,71.0,7
167,22,82.0,12
168,22,78.0,6
169,22,74.0,15
170,22,85.0,18
171,22,86.0,16
172,22,96.0,8
173,22,81.0,13
174,23,84.0,17
175,23,84.25,2
176,23,89.0,11
177,23,70.0,4
178,23,91.0,18
179,23,88.0,20
180,23,86.0,14
181,23,78.0,7
182,23,78.0,12
183,23,80.0,3
184,24,78.75,2
185,24,69.0,17
186,24,90.0,18
187,24,81.0,1
188,24,92.0,7
189,24,82.0,12
190,25,82.5,2
191,25,81.0,17
192,25,84.0,5
193,25,66.0,14
194,25,84.0,4
195,25,84.0,9
196,25,83.0,12
197,25,77.0,10
198,26,85.0,2
199,26,74.0,17
200,26,80.0,1
201,26,93.0,19
202,26,87.0,7
203,26,78.0,14
204,27,77.5,2
205,27,70.0,17
206,27,81.0,11
207,27,85.5,10
208,27,78.0,18
209,27,87.0,6
210,27,83.0,16
211,27,75.0,3
212,27,93.0,7
213,27,78.0,5
214,28,76.0,2
215,28,83.0,17
216,28,89.0,13
217,28,79.0,11
218,28,82.0,20
219,28,65.0,8
220,28,90.0,12
221,29,78.25,2
222,29,75.0,17
223,29,75.0,14
224,29,80.0,11
225,29,78.5,19
226,29,88.0,12
227,29,74.0,15
228,30,80.5,17
229,30,85.0,2
230,30,85.0,11
231,30,94.0,14
232,30,80.0,5
233,30,77.5,9
234,30,75.0,13
235,30,93.0,8
236,30,88.0,12
237,30,81.5,20
238,31,77.0,2
239,31,78.0,17
240,31,64.0,8
241,31,81.0,19
242,31,82.0,20
243,31,74.0,16
244,32,79.25,2
245,32,79.5,17
246,32,87.0,10
247,32,71.0,4
248,32,81.0,18
249,32,73.0,9
250,33,83.0,17
251,33,79.25,2
252,33,85.0,1
253,33,84.0,6
254,33,84.0,19
255,33,84.0,3
256,33,90.0,7
257,34,85.0,17
258,34,85.0,2
259,34,78.0,16
260,34,70.0,20
261,34,86.0,10
262,34,82.0,3
263,34,79.0,14
264,34,77.0,8
265,34,82.0,15
266,35,77.75,2
267,35,83.5,17
268,35,76.0,9
269,35,81.0,5
270,35,68.0,3
271,35,84.0,7
272,36,78.5,2
273,36,81.0,17
274,36,74.0,6
275,36,76.5,19
276,36,86.5,13
277,36,86.0,7
278,36,90.0,9
279,36,77.0,18
280,36,81.0,5
281,37,74.25,2
282,37,92.0,17
283,37,81.0,20
284,37,81.5,1
285,37,94.0,18
286,37,76.0,9
287,37,85.0,7
288,38,77.0,2
289,38,84.0,17
290,38,79.5,12
291,38,75.0,7
292,38,85.0,15
293,38,91.0,19
294,38,89.0,16
295,39,83.75,2
296,39,72.0,17
297,39,80.0,13
298,39,73.0,18
299,39,77.5,20
300,39,88.0,19
301,39,61.0,5
302,39,75.0,11
303,39,71.0,6
304,40,77.5,2
305,40,79.5,17
306,40,80.25,11
307,40,65.0,19
308,41,73.75,2
309,41,72.0,17
310,41,71.0,16
311,41,81.33,3
312,41,78.0,10
313,41,84.0,14
314,41,75.0,18
315,42,82.0,17
316,42,80.5,2
317,42,75.5,12
318,42,70.0,6
319,42,72.5,5
320,42,91.0,3
321,42,75.0,7
322,43,84.25,2
323,43,86.0,17
324,43,76.0,9
325,43,76.0,10
326,43,81.0,6
327,43,86.0,1
328,43,74.0,8
329,43,79.0,12
330,44,75.0,2
331,44,88.5,17
332,44,84.0,8
333,44,74.0,6
334,44,92.0,14
335,44,79.5,13
336,45,77.0,17
337,45,78.0,2
338,45,81.0,15
339,45,79.0,8
340,45,76.0,20
341,45,89.0,6
342,45,72.0,3
343,45,78.0,16
344,45,82.0,5
345,45,80.0,1
346,45,88.0,18
347,46,78.5,2
348,46,88.0,17
349,46,72.0,16
350,46,92.0,7
351,46,84.0,8
352,46,84.0,12
353,46,85.5,3
354,47,82.5,2
355,47,77.0,17
356,47,78.0,16
357,47,76.0,4
358,47,71.0,9
359,47,63.5,8
360,47,78.0,20
361,48,80.67,17
362,48,80.6,2
363,48,74.0,16
364,48,89.0,1
365,48,94.0,15
366,48,84.0,14
367,49,77.6,2
368,49,81.0,17
369,49,72.0,18
370,49,86.0,9
371,49,77.0,19
372,49,79.0,10
373,49,80.0,6
374,50,89.5,17
375,50,79.75,2
376,50,78.0,9
377,50,76.0,11
378,50,73.0,5
379,50,90.0,16
380,50,84.0,10
381,51,74.0,2
382,51,85.0,17
383,51,82.0,19
384,51,95.0,11
385,51,93.0,5
386,51,66.0,1
387,51,66.0,13
388,51,73.0,15
389,52,79.0,2
390,52,84.0,17
391,52,77.0,18
392,52,66.0,9
393,52,76.0,7
394,52,77.0,19
395,53,85.75,2
396,53,88.0,3
397,53,88.67,12
398,53,87.0,20
399,53,78.0,17
400,53,84.0,1
401,53,74.0,19
402,53,83.0,14
403,53,76.0,15
404,54,85.33,2
405,54,91.5,17
406,54,72.0,1
407,54,87.0,6
408,54,72.0,16
409,54,77.0,14
410,54,66.0,3
411,54,76.0,15
412,55,75.5,2
413,55,86.0,17
414,55,83.0,13
415,55,84.0,3
416,55,70.0,6
417,55,71.0,14
418,55,84.0,20
419,55,84.0,7
420,55,74.0,15
421,56,79.75,2
422,56,68.0,17
423,56,86.0,18
424,56,84.5,19
425,56,72.0,12
426,56,66.0,9
427,56,76.0,5
428,57,86.0,2
429,57,70.0,17
430,57,82.0,5
431,57,92.0,10
432,57,94.0,16
433,57,66.0,14
434,57,72.0,7
435,57,88.0,20
436,58,81.25,2
437,58,78.0,17
438,58,73.0,4
439,58,86.5,9
440,58,75.0,16
441,58,72.0,12
442,59,79.5,2
443,59,77.0,17
444,59,89.0,11
445,59,93.0,1
446,59,79.0,6
447,59,85.0,20
448,59,84.0,10
449,59,64.0,18
450,60,84.25,2
451,60,86.0,17
452,60,70.0,19
453,60,73.0,18
454,60,79.0,5
455,60,90.0,14
456,60,84.0,3
457,60,81.0,15
458,61,79.75,2
459,61,90.0,17
460,61,82.0,5
461,61,89.0,15
462,61,84.33,11
463,61,89.0,13
464,61,71.0,3
465,61,77.0,1
466,61,80.0,20
467,62,83.2,2
468,62,76.0,17
469,62,77.0,20
470,62,82.0,16
471,62,76.5,3
472,62,88.0,18
473,62,82.0,9
474,62,77.0,15
475,62,80.0,6
476,63,77.8,2
477,63,87.0,17
478,63,81.0,5
479,63,86.0,3
480,63,75.0,6
481,63,89.0,1
482,63,73.0,10
483,63,73.0,13
484,63,72.0,18
485,63,79.0,20
486,63,79.0,8
487,64,76.0,17
488,64,84.5,2
489,64,84.0,4
490,64,76.0,7
491,64,74.5,8
492,64,85.0,20
493,64,74.0,1
494,64,76.0,6
495,65,85.0,2
496,65,77.0,17
497,65,74.0,1
498,65,72.0,14
499,65,65.0,11
500,65,69.0,19
501,65,69.0,10
502,65,93.0,3
503,65,68.0,16
504,65,77.0,13
505,65,87.0,15
506,66,87.33,2
507,66,78.0,17
508,66,83.0,8
509,66,85.0,10
510,66,74.0,11
511,66,79.0,20
512,66,72.0,6
513,66,70.0,3
514,67,77.5,2
515,67,83.0,17
516,67,80.5,9
517,67,76.0,13
518,67,84.0,6
519,67,77.0,18
520,67,80.5,15
521,67,78.0,20
522,68,76.75,2
523,68,86.0,17
524,68,84.5,19
525,68,74.5,20
526,68,89.0,5
527,68,80.5,11
528,68,78.0,3
529,68,74.0,15
530,69,89.5,17
531,69,78.25,2
532,69,65.0,7
533,69,80.0,10
534,69,78.0,18
535,69,89.0,5
536,69,70.0,9
537,69,77.0,15
538,69,85.0,6
539,69,84.0,1
540,69,84.0,4
541,70,82.75,2
542,70,70.0,17
543,70,64.0,7
544,70,83.0,9
545,70,80.0,10
546,70,79.0,8
547,70,78.5,3
548,70,89.0,20
549,71,74.25,2
550,71,84.0,17
551,71,92.0,11
552,71,97.0,7
553,71,93.0,12
554,71,83.0,6
555,71,78.0,20
556,71,74.0,10
557,71,78.0,4
558,72,81.0,2
559,72,86.0,17
560,72,80.5,12
561,72,83.0,14
562,72,74.0,9
563,72,93.0,5
564,72,78.0,15
565,72,80.0,10
566,72,74.0,19
567,73,74.25,2
568,73,92.0,17
569,73,92.0,4
570,73,85.0,8
571,73,86.5,19
572,73,75.0,14
573,73,83.0,6
574,73,81.0,3
575,73,91.0,10
576,74,78.75,2
577,74,72.5,17
578,74,77.0,5
579,74,77.0,11
580,74,71.0,7
581,74,75.5,13
582,74,83.0,14
583,74,83.0,8
584,75,81.0,17
585,75,81.75,2
586,75,76.0,20
587,75,79.0,10
588,75,81.0,9
589,75,73.5,18
590,75,74.0,7
591,75,75.0,11
592,75,87.0,12
593,76,72.75,2
594,76,90.0,17
595,76,80.5,18
596,76,76.0,16
597,76,82.0,19
598,76,75.0,12
599,76,74.0,6
600,77,75.25,2
601,77,71.0,17
602,77,82.0,3
603,77,84.0,7
604,77,68.0,13
605,77,86.0,6
606,77,77.0,10
