Learning Path Title,Total Enrolled,Total Certified
Full Stack Development,388,267
Data Science,4138,2829
Machine Learning,412,295
Cybersecurity,383,263
Cloud Computing,387,276
Mobile App Development,390,267
DevOps,387,265
Web Development,401,259
Game Development,392,250
Digital Marketing,378,274
Blockchain Technology,432,291
Artificial Intelligence,388,273
UI/UX Design,364,248
IT Support,380,256
Project Management,396,281
Sales Skills,391,250
Business Analysis,1355,925
Human Resources,427,316
Finance Basics,387,265
Content Creation,375,259
