id,user_id,average_rating,learning_path_id
1.0,1.0,83.2,2.0
2.0,1.0,78.0,17.0
3.0,1.0,68.0,13.0
4.0,1.0,83.0,1.0
5.0,1.0,74.0,19.0
6.0,1.0,83.0,18.0
7.0,2.0,76.75,2.0
8.0,2.0,83.5,17.0
9.0,2.0,78.0,20.0
10.0,2.0,72.0,18.0
11.0,2.0,74.0,8.0
12.0,2.0,87.5,6.0
13.0,2.0,75.0,12.0
14.0,2.0,86.0,19.0
15.0,2.0,86.0,13.0
16.0,3.0,77.4,2.0
17.0,3.0,83.0,17.0
18.0,3.0,69.0,4.0
19.0,3.0,88.0,8.0
20.0,3.0,85.0,6.0
21.0,3.0,78.0,15.0
22.0,4.0,78.75,2.0
23.0,4.0,82.0,17.0
24.0,4.0,71.0,14.0
25.0,4.0,75.0,4.0
26.0,4.0,72.0,16.0
27.0,4.0,76.5,3.0
28.0,4.0,69.0,9.0
29.0,4.0,95.0,13.0
30.0,4.0,74.0,19.0
31.0,5.0,72.0,2.0
32.0,5.0,91.0,17.0
33.0,5.0,85.0,14.0
34.0,5.0,77.0,6.0
35.0,5.0,76.0,7.0
36.0,5.0,82.0,8.0
37.0,5.0,84.5,16.0
38.0,5.0,83.0,13.0
39.0,5.0,93.0,5.0
40.0,5.0,75.0,11.0
41.0,6.0,86.0,2.0
42.0,6.0,93.0,17.0
43.0,6.0,90.0,16.0
44.0,6.0,83.67,14.0
45.0,6.0,88.0,15.0
46.0,6.0,71.0,9.0
47.0,6.0,78.0,10.0
48.0,7.0,78.0,2.0
49.0,7.0,88.0,17.0
50.0,7.0,90.0,16.0
51.0,7.0,91.0,10.0
52.0,7.0,79.0,4.0
53.0,7.0,78.0,19.0
54.0,7.0,83.0,8.0
55.0,8.0,86.0,17.0
56.0,8.0,83.8,2.0
57.0,8.0,73.0,5.0
58.0,8.0,77.0,9.0
59.0,8.0,87.0,16.0
60.0,8.0,80.0,1.0
61.0,9.0,78.4,2.0
62.0,9.0,80.0,17.0
63.0,9.0,71.0,20.0
64.0,9.0,87.0,4.0
65.0,9.0,67.0,15.0
66.0,9.0,86.0,9.0
67.0,9.0,87.0,1.0
68.0,9.0,70.0,3.0
69.0,9.0,78.0,16.0
70.0,10.0,82.5,17.0
71.0,10.0,81.25,2.0
72.0,10.0,78.5,1.0
73.0,10.0,81.0,16.0
74.0,10.0,76.0,3.0
75.0,10.0,72.0,13.0
76.0,10.0,73.0,20.0
77.0,10.0,73.0,15.0
78.0,11.0,83.75,2.0
79.0,11.0,80.0,17.0
80.0,11.0,88.0,19.0
81.0,11.0,82.0,3.0
82.0,11.0,77.0,6.0
83.0,11.0,91.0,1.0
84.0,11.0,91.0,4.0
85.0,12.0,78.75,2.0
86.0,12.0,76.0,17.0
87.0,12.0,69.0,16.0
88.0,12.0,85.5,20.0
89.0,12.0,84.0,10.0
90.0,12.0,82.0,14.0
91.0,13.0,80.0,2.0
92.0,13.0,80.0,17.0
93.0,13.0,74.0,13.0
94.0,13.0,85.0,10.0
95.0,13.0,79.0,12.0
96.0,13.0,96.0,14.0
