user_id,learning_path_id,total_certifications,total_courses_assigned,average_rating,average_rating_bin
1,2,3,4,78.75,71-80
1,6,1,1,81.0,81-90
1,14,1,2,77.0,71-80
1,16,1,2,75.5,71-80
1,17,0,1,70.0,71-80
1,19,1,1,85.0,81-90
1,20,1,1,83.0,81-90
2,2,4,4,82.75,81-90
2,6,0,2,73.0,71-80
2,10,0,1,74.0,71-80
2,11,0,1,65.0,61-70
2,17,1,2,78.0,71-80
3,1,1,1,78.0,71-80
3,2,4,4,84.0,81-90
3,5,2,2,87.0,81-90
3,6,1,1,80.0,81-90
3,17,2,2,91.0,91-100
3,19,1,1,80.0,81-90
4,2,3,3,79.67,71-80
4,4,1,1,79.0,71-80
4,11,1,1,80.0,81-90
4,15,1,1,79.0,71-80
4,17,1,1,87.0,81-90
4,18,0,2,70.0,71-80
4,19,0,1,71.0,71-80
4,20,0,1,70.0,71-80
5,2,2,5,76.0,71-80
5,5,0,1,75.0,71-80
5,7,1,1,84.0,81-90
5,8,0,1,71.0,71-80
5,11,1,2,81.0,81-90
5,12,1,1,84.0,81-90
5,16,0,1,75.0,71-80
5,17,1,1,83.0,81-90
6,2,2,4,78.75,71-80
6,4,1,1,94.0,91-100
6,6,0,1,75.0,71-80
6,16,1,1,78.0,71-80
6,17,0,1,70.0,71-80
6,20,1,2,75.0,71-80
7,1,0,1,68.0,61-70
7,2,4,4,85.0,81-90
7,3,1,1,92.0,91-100
7,5,1,1,88.0,81-90
7,6,1,1,84.0,81-90
7,15,0,1,75.0,71-80
7,17,0,1,74.0,71-80
7,18,0,1,71.0,71-80
8,1,1,1,86.0,81-90
8,2,2,4,77.5,71-80
8,3,1,1,84.0,81-90
8,5,1,1,91.0,91-100
8,9,1,1,88.0,81-90
8,10,1,2,79.5,71-80
8,12,1,1,79.0,71-80
8,14,0,1,64.0,61-70
8,17,1,1,80.0,81-90
9,2,1,4,74.25,71-80
9,3,1,2,80.0,81-90
9,8,1,1,88.0,81-90
9,9,1,1,88.0,81-90
9,10,1,1,88.0,81-90
9,12,1,1,78.0,71-80
9,13,0,1,77.0,71-80
