user_id,learning_path_id,total_certifications,total_courses_assigned,average_rating
1,2,3,4,78.75
1,6,1,1,81.0
1,14,1,2,77.0
1,16,1,2,75.5
1,17,0,1,70.0
1,19,1,1,85.0
1,20,1,1,83.0
2,2,4,4,82.75
2,6,0,2,73.0
2,10,0,1,74.0
2,11,0,1,65.0
2,17,1,2,78.0
3,1,1,1,78.0
3,2,4,4,84.0
3,5,2,2,87.0
3,6,1,1,80.0
3,17,2,2,91.0
3,19,1,1,80.0
4,2,3,3,79.67
4,4,1,1,79.0
4,11,1,1,80.0
4,15,1,1,79.0
4,17,1,1,87.0
4,18,0,2,70.0
4,19,0,1,71.0
4,20,0,1,70.0
5,2,2,5,76.0
5,5,0,1,75.0
5,7,1,1,84.0
5,8,0,1,71.0
5,11,1,2,81.0
5,12,1,1,84.0
5,16,0,1,75.0
5,17,1,1,83.0
6,2,2,4,78.75
6,4,1,1,94.0
6,6,0,1,75.0
6,16,1,1,78.0
6,17,0,1,70.0
6,20,1,2,75.0
7,1,0,1,68.0
7,2,4,4,85.0
7,3,1,1,92.0
7,5,1,1,88.0
7,6,1,1,84.0
7,15,0,1,75.0
7,17,0,1,74.0
7,18,0,1,71.0
8,1,1,1,86.0
8,2,2,4,77.5
8,3,1,1,84.0
8,5,1,1,91.0
8,9,1,1,88.0
8,10,1,2,79.5
8,12,1,1,79.0
8,14,0,1,64.0
8,17,1,1,80.0
9,2,1,4,74.25
9,3,1,2,80.0
9,8,1,1,88.0
9,9,1,1,88.0
9,10,1,1,88.0
9,12,1,1,78.0
9,13,0,1,77.0
9,14,1,2,79.0
9,15,1,1,92.0
9,17,0,1,74.0
10,2,3,3,79.33
10,3,0,1,74.0
10,4,2,3,76.33
10,9,0,1,75.0
10,12,1,1,80.0
10,17,1,1,90.0
11,2,2,4,76.75
11,5,1,1,87.0
11,7,0,1,72.0
11,9,1,2,79.5
11,11,0,1,77.0
11,12,0,1,74.0
11,13,0,1,74.0
11,17,1,2,84.0
12,2,4,5,81.0
12,5,1,1,80.0
12,6,0,1,75.0
12,8,1,1,96.0
12,9,0,1,69.0
12,12,1,1,84.0
12,17,1,1,77.0
13,1,0,1,70.0
13,2,1,4,77.75
13,3,1,1,81.0
13,5,1,1,78.0
13,17,0,1,72.0
13,19,0,1,76.0
13,20,1,1,79.0
14,2,2,4,79.75
14,6,0,1,67.0
14,8,1,1,86.0
14,9,0,1,73.0
14,12,1,1,77.0
14,17,1,1,78.0
14,18,0,1,69.0
15,2,1,4,77.75
15,8,1,1,82.0
15,13,1,1,84.0
15,15,1,1,76.0
15,16,1,2,78.0
15,17,0,1,75.0
15,18,1,1,86.0
15,20,1,1,82.0
16,2,1,4,70.0
16,3,1,1,83.0
16,8,0,1,71.0
16,9,0,1,76.0
16,10,2,3,77.67
16,12,1,1,80.0
16,13,2,2,89.0
16,14,1,1,80.0
16,17,1,1,93.0
17,2,3,4,78.75
17,3,1,1,90.0
17,7,1,1,79.0
17,10,1,1,88.0
17,13,1,1,85.0
17,15,2,2,88.0
17,17,1,1,90.0
17,18,1,1,97.0
18,2,2,4,78.5
18,4,0,1,75.0
18,12,0,2,66.0
18,13,0,1,73.0
18,17,1,2,80.5
19,2,3,4,78.0
19,3,1,1,91.0
19,6,1,1,81.0
19,17,2,2,84.0
19,20,2,3,77.0
20,1,1,1,81.0
20,2,3,4,80.25
20,4,1,1,81.0
20,8,0,1,74.0
20,13,0,1,74.0
20,15,0,1,74.0
20,17,0,1,67.0
20,19,1,1,76.0
21,2,3,4,82.75
21,8,1,2,79.0
21,10,1,1,87.0
21,14,0,1,75.0
21,15,1,1,89.0
21,17,1,1,79.0
21,20,1,1,82.0
22,1,1,1,81.0
22,2,4,4,88.75
22,3,0,1,68.0
22,5,1,2,76.5
22,6,2,2,89.0
22,7,1,1,87.0
22,12,1,1,90.0
22,15,0,1,72.0
22,17,0,1,74.0
22,20,1,1,76.0
23,2,4,5,81.2
23,3,1,1,76.0
23,6,1,2,78.0
23,7,0,1,67.0
23,9,1,1,81.0
