id,user_id,average_rating,learning_path_id
1,1,78.75,2
2,1,70.0,17
3,1,75.5,16
4,1,81.0,6
5,1,85.0,19
6,1,77.0,14
7,1,83.0,20
8,2,82.75,2
9,2,78.0,17
10,2,74.0,10
11,2,65.0,11
12,2,73.0,6
13,3,84.0,2
14,3,91.0,17
15,3,80.0,19
16,3,78.0,1
17,3,80.0,6
18,3,87.0,5
19,4,87.0,17
20,4,79.67,2
21,4,79.0,15
22,4,70.0,18
23,4,80.0,11
24,4,79.0,4
25,4,70.0,20
26,4,71.0,19
27,5,83.0,17
28,5,76.0,2
29,5,71.0,8
30,5,84.0,12
31,5,75.0,5
32,5,81.0,11
33,5,75.0,16
34,5,84.0,7
35,6,78.75,2
36,6,70.0,17
37,6,94.0,4
38,6,78.0,16
39,6,75.0,20
40,6,75.0,6
41,7,85.0,2
42,7,74.0,17
43,7,75.0,15
44,7,68.0,1
45,7,92.0,3
46,7,88.0,5
47,7,71.0,18
48,7,84.0,6
49,8,77.5,2
50,8,80.0,17
51,8,79.5,10
52,8,64.0,14
53,8,88.0,9
54,8,84.0,3
55,8,86.0,1
56,8,91.0,5
57,8,79.0,12
58,9,74.0,17
59,9,74.25,2
60,9,88.0,8
61,9,80.0,3
62,9,79.0,14
63,9,88.0,9
64,9,77.0,13
65,9,88.0,10
66,9,78.0,12
67,9,92.0,15
68,10,90.0,17
69,10,79.33,2
70,10,76.33,4
71,10,75.0,9
72,10,74.0,3
73,10,80.0,12
74,11,76.75,2
75,11,84.0,17
76,11,72.0,7
77,11,77.0,11
78,11,74.0,12
79,11,79.5,9
80,11,87.0,5
81,11,74.0,13
82,12,81.0,2
83,12,77.0,17
84,12,84.0,12
85,12,69.0,9
86,12,75.0,6
87,12,96.0,8
88,12,80.0,5
89,13,77.75,2
90,13,72.0,17
91,13,76.0,19
92,13,70.0,1
93,13,78.0,5
94,13,79.0,20
95,13,81.0,3
96,14,79.75,2
97,14,78.0,17
98,14,69.0,18
99,14,86.0,8
100,14,77.0,12
101,14,73.0,9
102,14,67.0,6
103,15,75.0,17
104,15,77.75,2
105,15,86.0,18
106,15,76.0,15
107,15,84.0,13
108,15,82.0,8
109,15,78.0,16
110,15,82.0,20
111,16,70.0,2
112,16,93.0,17
113,16,77.67,10
114,16,83.0,3
115,16,80.0,12
116,16,76.0,9
117,16,80.0,14
118,16,89.0,13
119,16,71.0,8
120,17,90.0,17
121,17,78.75,2
122,17,79.0,7
123,17,88.0,10
124,17,97.0,18
125,17,88.0,15
126,17,90.0,3
127,17,85.0,13
128,18,78.5,2
129,18,80.5,17
130,18,66.0,12
131,18,73.0,13
132,18,75.0,4
133,19,78.0,2
134,19,84.0,17
135,19,77.0,20
136,19,91.0,3
137,19,81.0,6
138,20,80.25,2
139,20,67.0,17
140,20,81.0,4
141,20,74.0,13
142,20,81.0,1
143,20,76.0,19
144,20,74.0,8
145,20,74.0,15
146,21,82.75,2
147,21,79.0,17
148,21,89.0,15
149,21,82.0,20
150,21,79.0,8
151,21,87.0,10
152,21,75.0,14
153,22,88.75,2
154,22,74.0,17
155,22,90.0,12
156,22,72.0,15
157,22,76.5,5
158,22,89.0,6
159,22,76.0,20
160,22,87.0,7
161,22,68.0,3
162,22,81.0,1
163,23,81.2,2
164,23,79.0,17
165,23,76.0,3
166,23,67.0,7
167,23,81.0,9
168,23,78.0,6
169,23,77.0,20
170,23,95.0,18
171,24,83.0,17
172,24,75.75,2
173,24,85.33,3
174,24,82.0,14
175,24,83.0,4
176,24,78.0,18
177,25,83.0,2
178,25,93.0,17
179,25,90.0,13
180,25,69.0,18
181,25,79.0,9
182,25,70.0,8
183,25,85.0,3
184,25,65.0,16
185,26,82.75,2
186,26,80.0,17
187,26,75.0,5
188,26,67.0,15
189,26,72.0,6
190,26,70.0,18
191,26,81.0,16
192,26,84.0,3
193,26,75.0,13
194,26,65.0,9
195,27,68.0,17
196,27,83.0,2
197,27,85.0,9
198,27,80.0,4
199,27,98.0,1
200,28,79.8,2
201,28,86.0,17
202,28,83.0,12
203,28,81.0,6
204,28,78.0,4
205,28,94.0,10
206,28,87.0,14
207,28,92.0,11
