id,user_id,average_rating,learning_path_id
1,1,82.25,2
2,1,74.0,17
3,1,76.0,5
4,1,84.0,3
5,1,97.0,8
6,1,81.0,18
7,1,80.0,10
8,1,73.5,16
9,2,77.25,2
10,2,83.33,17
11,2,71.0,5
12,2,77.0,6
13,2,83.0,18
14,2,64.0,7
15,2,74.0,1
16,2,65.0,20
17,3,81.0,2
18,3,72.0,17
19,3,80.0,10
20,3,86.0,3
21,3,78.0,11
22,3,89.0,18
23,4,80.6,2
24,4,89.0,17
25,4,81.0,19
26,4,82.0,10
27,4,80.0,13
28,4,83.0,1
29,5,80.25,2
30,5,78.5,17
31,5,76.0,9
32,5,65.0,11
33,5,76.5,19
34,6,77.0,2
35,6,92.0,17
36,6,74.0,10
37,6,81.0,18
38,6,73.0,20
39,6,77.0,6
40,6,71.0,7
41,6,81.0,16
42,7,80.75,2
43,7,64.0,17
44,7,92.0,10
45,7,84.0,20
46,7,82.0,5
47,7,91.0,16
48,7,82.0,4
49,7,77.0,12
50,8,76.75,2
51,8,87.0,17
52,8,87.0,12
53,8,80.0,7
54,8,82.0,20
55,8,79.0,8
56,8,83.0,14
57,9,75.0,2
58,9,85.5,17
59,9,85.0,14
60,9,84.0,7
61,9,80.5,11
62,9,86.0,1
63,9,71.0,13
64,9,86.0,6
65,10,86.5,2
66,10,83.5,17
67,10,76.0,4
68,10,74.0,9
69,10,91.0,15
70,10,84.0,18
71,11,79.6,2
72,11,86.0,17
73,11,82.0,19
74,11,75.0,9
75,11,74.5,7
76,11,85.0,13
77,11,88.0,18
78,12,83.0,2
79,12,93.0,17
80,12,78.0,19
81,12,77.0,3
82,12,78.0,1
83,12,72.0,18
84,12,83.0,4
85,12,86.0,13
86,12,91.0,16
87,13,89.4,2
88,13,68.0,17
89,13,79.0,13
90,13,79.5,6
91,13,77.0,4
92,13,85.0,10
93,13,85.0,9
94,13,82.0,8
95,13,74.0,3
96,13,79.0,12
97,14,74.8,2
98,14,80.0,17
99,14,74.0,4
100,14,79.0,7
101,14,93.0,9
102,14,87.5,14
103,15,83.0,17
104,15,81.2,2
105,15,95.0,18
106,15,82.0,13
107,15,79.0,9
108,15,92.0,10
109,15,82.0,7
110,16,83.25,2
111,16,76.0,17
112,16,91.0,16
113,16,77.0,18
114,16,77.0,12
115,16,72.0,14
116,16,97.0,13
117,16,77.0,1
118,16,90.0,8
119,16,87.0,19
120,17,80.25,2
121,17,77.0,17
122,17,80.0,10
123,17,79.0,11
124,17,66.0,6
125,17,70.0,4
126,17,78.0,12
127,17,80.0,19
128,17,83.0,7
129,17,78.0,5
130,18,82.0,2
131,18,81.0,17
132,18,90.0,7
133,18,76.0,16
134,18,84.0,3
135,18,82.0,20
136,18,76.0,15
137,18,81.0,11
138,18,82.0,5
139,19,75.33,17
140,19,85.75,2
141,19,67.0,19
142,19,84.0,1
143,19,77.0,12
144,19,73.5,16
145,19,85.0,7
146,19,82.0,4
147,19,81.0,18
148,20,81.5,2
149,20,65.5,17
150,20,77.0,5
151,20,79.5,16
152,20,68.0,19
153,20,89.0,11
154,20,77.5,14
155,20,76.0,10
156,21,81.75,2
157,21,90.0,17
158,21,60.0,20
159,21,72.67,9
160,21,68.0,11
161,21,84.0,15
162,21,81.0,14
163,22,81.75,2
164,22,90.0,17
165,22,85.0,4
166,22,84.0,6
167,22,84.0,1
168,22,66.0,20
169,22,68.0,9
170,22,85.0,8
171,23,80.5,2
172,23,77.5,17
173,23,67.0,12
174,23,70.0,5
175,23,90.0,19
176,23,74.0,13
177,23,79.0,20
178,23,77.0,11
179,23,80.0,4
180,23,72.0,10
181,24,85.25,2
182,24,77.0,17
183,24,77.0,8
184,24,84.0,1
185,24,88.0,3
186,24,75.0,19
187,24,70.0,15
188,24,75.0,20
189,25,82.25,2
190,25,82.0,5
191,25,86.5,4
192,25,79.0,13
193,25,74.0,9
194,25,93.0,14
195,25,72.0,12
196,25,69.0,11
197,26,78.75,2
198,26,81.0,17
199,26,82.0,20
200,26,82.5,12
201,26,81.0,15
202,26,79.5,16
203,26,83.0,19
204,26,67.0,1
205,26,83.0,5
206,27,79.5,2
207,27,76.0,17
208,27,74.0,1
209,27,65.0,14
210,27,79.5,19
211,27,85.0,4
212,28,82.0,17
213,28,77.25,2
214,28,81.0,1
215,28,68.0,8
216,28,80.0,5
217,28,86.0,13
218,28,94.0,12
219,29,87.25,2
220,29,84.0,17
221,29,75.0,12
222,29,74.0,16
223,29,80.0,7
224,29,72.0,6
225,30,77.0,17
226,30,82.5,2
227,30,74.5,12
228,30,79.0,15
229,30,71.0,10
230,30,72.0,16
231,30,89.0,6
232,31,73.0,17
233,31,84.5,2
234,31,89.0,3
235,31,87.5,6
236,31,96.0,7
237,31,87.0,10
238,32,72.75,2
239,32,77.33,17
240,32,75.0,5
241,32,79.0,15
242,32,69.0,7
243,32,76.0,10
244,32,78.0,13
245,32,72.0,16
246,32,72.0,3
247,33,74.17,2
248,33,77.0,17
249,33,87.0,4
250,33,71.0,14
251,33,66.0,20
252,33,87.0,10
253,33,84.0,3
254,33,74.0,1
255,34,85.5,2
256,34,82.0,17
257,34,81.0,14
258,34,89.0,1
259,34,87.0,13
260,34,84.0,3
261,34,81.0,20
262,34,73.0,7
263,35,84.0,2
264,35,91.0,17
265,35,81.0,16
266,35,85.5,18
267,35,77.0,19
268,35,90.0,9
269,35,86.0,6
270,35,71.0,15
271,35,76.0,5
272,35,80.0,3
273,36,79.0,2
274,36,77.0,17
275,36,82.5,12
276,36,87.0,4
277,36,83.5,19
278,36,89.0,6
279,36,79.5,16
280,36,76.0,13
281,36,82.0,9
282,37,79.0,2
283,37,88.0,17
284,37,83.5,1
285,37,76.0,19
286,37,83.0,20
287,37,82.0,10
288,37,90.0,13
289,38,84.33,2
290,38,86.0,17
291,38,88.0,6
292,38,78.0,15
293,38,78.0,9
294,38,75.5,12
295,38,86.5,11
296,38,71.0,19
297,38,74.0,20
298,39,75.5,17
299,39,79.75,2
300,39,77.0,18
301,39,71.0,13
302,39,88.0,1
303,39,72.0,7
304,39,81.0,4
305,39,74.0,20
306,39,76.0,5
307,39,77.0,16
308,40,87.0,2
309,40,91.0,17
310,40,93.0,12
311,40,92.0,8
312,40,69.0,4
313,40,70.0,18
314,41,82.25,2
315,41,79.5,17
316,41,77.0,10
317,41,79.0,9
318,41,83.0,14
319,41,85.0,15
320,42,80.75,2
321,42,67.0,17
322,42,86.0,16
323,42,84.0,6
324,42,79.0,1
325,42,83.0,4
326,42,75.0,9
327,42,62.0,10
328,42,71.0,18
329,42,78.0,12
330,43,82.25,2
331,43,68.0,17
332,43,69.0,13
333,43,68.0,4
334,43,91.0,7
335,43,74.0,12
336,43,75.0,8
337,43,82.0,18
338,44,79.2,2
339,44,78.0,17
340,44,81.0,8
341,44,90.0,16
342,44,75.0,20
343,44,81.0,18
344,44,77.0,13
345,45,75.0,2
346,45,76.0,17
347,45,81.5,1
348,45,80.0,11
349,45,84.0,4
350,45,83.0,16
351,45,88.0,7
352,45,86.0,18
353,45,76.0,10
354,45,73.0,20
355,45,93.0,3
356,46,83.5,2
357,46,85.0,17
358,46,67.0,19
359,46,83.0,6
360,46,79.0,14
361,46,78.0,15
362,46,74.0,9
363,46,81.0,20
364,46,80.0,18
365,47,84.2,2
366,47,73.67,17
367,47,74.5,3
368,47,83.0,9
369,48,74.5,2
370,48,85.0,17
371,48,80.0,19
372,48,95.0,8
373,48,76.0,5
374,48,85.5,7
375,48,82.0,6
376,48,82.0,16
377,48,79.0,3
378,48,87.0,4
379,49,84.25,2
380,49,65.0,17
381,49,75.5,10
382,49,75.0,20
383,49,91.0,16
384,49,91.0,19
385,49,78.0,15
386,50,77.6,2
387,50,79.0,17
388,50,74.0,19
389,50,77.0,18
390,50,76.0,16
391,50,90.0,11
392,51,79.25,2
393,51,73.0,17
394,51,89.0,15
395,51,82.0,1
396,51,72.0,18
397,51,77.5,5
398,51,82.0,9
399,52,77.75,2
400,52,79.0,17
401,52,72.0,19
402,52,89.0,1
403,52,79.0,11
404,52,82.0,5
405,52,76.0,6
406,52,94.0,20
407,52,73.0,18
408,52,78.0,7
409,53,81.75,2
410,53,89.0,17
411,53,67.0,9
412,53,79.0,15
413,53,70.0,11
414,53,88.0,10
415,53,84.0,8
416,53,80.0,16
417,54,69.0,17
418,54,78.25,2
419,54,80.0,20
420,54,85.0,12
421,54,82.0,1
422,54,72.0,19
423,54,96.0,18
424,55,76.6,2
425,55,77.0,17
426,55,81.5,11
427,55,77.0,19
428,55,65.0,6
429,55,62.0,7
430,55,82.0,1
431,55,83.0,5
432,56,86.4,2
433,56,81.0,17
434,56,86.0,10
435,56,74.0,4
436,56,73.0,14
437,56,79.0,15
438,57,73.5,2
439,57,83.0,17
440,57,72.5,10
441,57,88.0,20
442,57,72.0,12
443,57,77.5,8
444,57,80.0,9
445,57,82.0,11
446,57,78.0,4
447,57,88.0,5
448,58,87.0,17
449,58,86.2,2
450,58,72.0,14
451,58,73.0,13
452,58,77.0,18
453,58,76.0,8
454,59,87.0,2
455,59,95.0,17
456,59,80.0,20
457,59,89.0,10
458,59,77.0,5
459,59,83.0,12
460,59,82.0,8
461,59,76.0,15
462,60,80.75,2
463,60,81.0,17
464,60,86.0,6
465,60,74.0,15
466,60,84.0,18
467,60,86.0,11
468,60,82.0,3
469,61,75.75,2
470,61,76.0,17
471,61,80.0,11
472,61,82.0,9
473,61,69.0,20
474,61,77.0,13
475,61,81.0,16
476,62,81.5,2
477,62,77.0,17
478,62,86.0,4
479,62,81.5,20
480,62,72.0,9
481,62,71.0,3
482,62,84.0,7
483,62,72.0,6
484,63,85.0,2
485,63,84.5,17
486,63,91.0,1
487,63,94.0,11
488,63,91.0,5
489,63,76.0,13
490,64,85.25,2
491,64,94.0,17
492,64,77.0,12
493,64,83.0,7
494,64,87.0,4
495,64,93.0,14
496,64,87.0,6
497,64,76.5,20
498,64,84.5,13
499,64,82.0,5
500,65,71.0,17
501,65,79.25,2
502,65,84.0,12
503,65,86.5,15
504,65,72.0,19
505,65,74.0,7
506,65,89.5,6
507,65,69.0,4
508,66,79.0,2
509,66,86.5,17
510,66,82.0,18
511,66,69.0,20
512,66,74.0,15
513,66,73.0,3
514,67,77.75,2
515,67,68.0,17
516,67,87.0,11
517,67,65.0,16
518,67,79.0,8
519,67,93.0,1
520,67,81.0,18
521,68,80.0,2
522,68,62.0,17
523,68,80.5,19
524,68,92.0,10
525,68,84.5,16
526,68,80.0,11
527,68,85.0,1
528,68,82.0,3
529,68,80.0,9
530,69,93.0,17
531,69,82.25,2
532,69,81.5,18
533,69,77.0,10
534,69,74.0,7
535,69,81.0,6
536,69,70.0,16
537,69,81.5,20
538,69,81.0,13
539,69,69.0,5
540,70,89.0,17
541,70,76.67,2
542,70,75.0,5
543,70,74.0,14
544,70,90.0,18
545,71,82.5,2
546,71,92.0,17
547,71,76.33,12
548,71,74.0,13
549,71,74.0,14
550,71,84.5,10
551,71,76.0,9
552,72,76.0,2
553,72,72.5,17
554,72,86.0,16
555,72,80.5,13
556,72,91.0,4
557,72,83.0,15
558,72,75.0,5
559,72,93.0,11
560,73,81.75,2
561,73,75.0,17
562,73,85.5,19
563,73,78.0,18
564,73,77.0,10
565,73,73.0,4
566,73,71.0,14
567,74,78.6,2
568,74,87.0,17
569,74,82.0,4
570,74,75.0,16
571,74,73.0,5
572,74,85.0,11
573,74,85.0,14
574,74,84.0,12
575,74,77.0,18
576,75,88.5,17
577,75,81.33,2
578,75,76.0,16
579,75,77.0,1
580,75,85.0,8
581,75,72.0,12
582,75,90.0,3
583,75,71.0,19
584,75,85.0,14
585,76,79.5,2
586,76,74.5,17
587,76,81.33,6
588,76,65.0,9
589,76,80.5,18
590,76,72.0,7
591,76,73.0,10
592,76,72.0,14
593,77,80.75,2
594,77,84.0,17
595,77,76.0,18
596,77,90.0,6
597,77,70.0,11
598,77,68.0,19
599,77,79.0,16
600,78,78.5,2
601,78,82.0,17
602,78,82.5,9
603,78,84.0,6
604,78,70.0,13
605,78,83.0,12
606,78,78.0,15
607,78,88.0,8
608,79,84.25,2
609,79,88.0,17
610,79,79.5,15
611,79,78.0,10
612,79,82.0,8
613,79,84.0,18
614,79,79.0,9
615,80,73.0,2
616,80,74.5,17
617,80,77.0,10
618,80,88.0,20
619,80,88.0,9
620,81,80.0,17
621,81,83.8,2
622,81,80.5,8
623,81,81.0,5
624,81,84.5,15
625,81,79.0,6
626,81,76.0,18
627,82,81.75,2
628,82,67.0,17
629,82,72.0,10
630,82,88.0,13
631,82,88.0,20
632,82,69.0,18
633,83,83.4,2
634,83,78.0,17
635,83,82.0,7
636,83,84.0,19
637,83,79.0,11
638,83,82.0,9
639,83,76.0,5
640,83,76.33,12
641,84,77.75,2
642,84,75.0,17
643,84,91.0,15
644,84,89.0,13
645,84,73.0,4
646,84,68.0,8
647,84,83.0,7
648,85,87.0,17
649,85,77.0,2
650,85,74.0,5
651,85,74.5,12
652,85,92.0,9
653,85,81.0,18
654,85,81.0,10
655,85,82.0,11
656,85,75.0,4
657,86,78.33,2
658,86,75.0,17
659,86,84.0,6
660,86,79.0,9
661,86,77.0,7
662,86,69.0,18
663,86,94.0,11
664,86,86.0,10
665,87,81.75,2
666,87,82.0,17
667,87,63.0,8
668,87,73.0,12
669,87,77.0,7
670,87,81.0,15
671,87,91.0,19
672,87,89.0,1
673,88,81.25,2
674,88,89.0,17
675,88,80.0,5
676,88,79.0,7
677,88,82.0,15
678,88,76.0,11
679,88,83.0,3
680,89,75.5,2
681,89,73.0,17
682,89,91.0,10
683,89,80.25,5
684,89,75.0,12
685,89,77.0,9
686,89,81.0,1
687,90,84.75,2
688,90,79.0,17
689,90,83.0,5
690,90,73.0,12
691,90,85.0,11
692,90,89.0,19
693,90,82.0,7
694,90,82.0,3
695,91,73.75,2
696,91,86.0,17
697,91,79.0,12
698,91,78.0,8
699,91,75.0,9
700,91,78.0,20
701,91,88.0,4
702,91,81.0,6
703,92,80.25,2
704,92,77.0,17
705,92,69.0,19
706,92,83.0,6
707,92,77.0,7
708,92,96.0,1
709,92,93.0,15
710,92,76.0,11
711,92,66.0,8
712,93,82.5,2
713,93,80.0,17
714,93,70.0,8
715,93,76.0,19
716,93,83.0,7
717,93,77.0,12
718,93,82.0,1
719,93,95.0,5
720,93,81.0,6
721,93,86.0,11
722,94,85.0,17
723,94,81.0,2
724,94,80.0,9
725,94,73.0,16
726,94,78.0,12
727,94,80.0,4
728,94,85.0,7
729,95,84.25,2
730,95,86.0,17
731,95,81.0,4
732,95,88.0,18
733,95,82.0,6
734,95,91.0,9
735,95,82.0,7
736,96,73.75,2
737,96,76.0,17
738,96,81.0,20
739,96,89.0,10
740,96,85.0,11
741,96,70.0,8
742,96,75.0,5
743,96,70.0,13
744,97,75.0,17
745,97,85.5,2
746,97,75.0,16
747,97,75.0,12
748,97,76.0,20
749,97,85.0,15
750,97,83.0,1
751,98,83.75,2
752,98,76.0,17
753,98,80.0,16
754,98,65.0,13
755,98,93.0,4
756,98,81.0,8
757,98,79.5,11
758,98,82.0,18
759,98,91.0,10
760,98,82.0,5
761,99,82.67,2
762,99,74.0,17
763,99,71.0,9
764,99,96.0,18
765,99,77.0,10
766,99,83.0,11
767,99,77.0,1
768,100,81.0,2
769,100,77.0,17
770,100,81.0,20
771,100,88.0,5
772,100,75.0,11
773,100,69.0,7
774,100,88.0,12
775,101,84.0,17
776,101,77.5,2
777,101,96.0,5
778,101,79.0,16
779,101,78.0,9
780,101,85.0,12
781,101,80.0,7
782,101,77.0,4
783,101,96.0,13
784,101,83.0,18
785,102,82.0,17
786,102,79.25,2
787,102,77.0,20
788,102,78.0,4
789,102,79.0,13
790,102,80.0,11
791,102,76.0,1
792,103,80.75,2
793,103,92.0,17
794,103,78.0,11
795,103,68.0,18
796,103,78.0,7
797,103,80.0,16
798,103,91.0,12
799,103,89.0,5
800,103,82.0,15
801,103,81.0,8
802,104,78.5,2
803,104,78.0,17
804,104,67.0,19
805,104,78.5,5
806,104,95.0,3
807,104,80.0,8
808,104,91.0,11
809,105,82.25,2
810,105,79.0,17
811,105,83.0,13
812,105,79.0,9
813,105,78.0,7
814,105,81.0,6
815,105,68.0,11
816,106,72.75,2
817,106,82.0,17
818,106,77.0,14
819,106,77.0,10
820,106,78.0,5
821,106,82.0,15
822,106,87.0,16
823,106,75.0,13
824,106,70.0,6
825,106,85.0,3
826,107,85.75,2
827,107,80.0,17
828,107,68.0,13
829,107,93.0,15
830,107,80.0,20
831,107,78.0,9
832,107,74.0,14
833,107,70.0,7
834,108,81.33,17
835,108,81.25,2
836,108,75.0,4
837,108,77.0,14
838,108,82.0,15
839,108,79.0,7
840,108,85.0,3
841,108,89.0,12
842,109,77.75,2
843,109,79.0,17
844,109,75.5,4
845,109,83.0,14
846,109,82.0,10
847,109,88.0,6
848,109,77.0,16
849,109,67.0,11
850,109,71.0,5
851,110,76.25,2
852,110,83.0,17
853,110,70.0,8
854,110,81.5,3
855,110,88.0,1
856,110,66.0,10
857,110,81.0,16
858,110,78.0,4
859,110,79.0,7
860,111,83.5,2
861,111,69.0,17
862,111,81.0,10
863,111,77.5,4
864,111,78.0,16
865,111,69.0,13
866,111,86.0,1
867,111,83.0,5
868,111,88.0,9
869,111,78.0,19
870,112,79.75,2
871,112,77.0,17
872,112,79.5,20
873,112,87.0,8
874,112,88.0,13
875,112,80.0,3
876,112,65.0,1
877,112,82.0,12
878,113,75.0,17
879,113,72.75,2
880,113,67.0,1
881,113,83.0,8
882,113,80.0,16
883,113,64.0,9
884,114,81.67,2
885,114,82.0,17
886,114,75.5,13
887,114,83.0,12
888,114,91.0,16
889,114,75.0,4
890,114,83.0,3
891,115,76.0,17
892,115,76.5,2
893,115,85.5,9
894,115,79.0,19
895,115,74.0,15
896,115,77.0,6
897,116,82.0,2
898,116,64.0,17
899,116,74.0,13
900,116,77.0,6
901,116,82.0,18
902,116,87.0,12
903,116,76.0,8
904,116,72.0,3
905,116,66.0,7
906,116,74.0,1
907,116,86.0,10
908,117,76.0,2
909,117,71.0,17
910,117,83.0,18
911,117,84.5,20
912,117,78.0,8
913,117,81.5,16
914,117,69.0,4
915,117,81.0,3
916,118,77.0,2
917,118,87.0,17
918,118,74.0,3
919,118,93.0,6
920,118,86.0,19
921,118,74.0,8
922,118,79.0,5
923,118,80.0,7
924,118,83.0,11
925,118,81.0,15
926,119,81.0,17
927,119,79.5,2
928,119,76.0,4
929,119,80.0,9
930,119,79.5,10
931,119,85.0,16
932,119,72.0,11
933,119,92.0,8
934,120,77.6,2
935,120,73.0,17
936,120,87.0,11
937,120,84.0,1
938,120,85.0,18
939,120,94.0,6
940,121,77.75,2
941,121,93.0,17
942,121,86.0,13
943,121,83.5,6
944,121,91.0,8
945,121,72.0,12
946,121,66.0,15
947,121,83.5,14
948,121,75.0,11
949,121,72.0,3
950,122,79.0,17
951,122,86.25,2
952,122,70.0,12
953,122,88.0,3
954,122,69.0,14
955,122,77.5,16
